No.,Cup Dia GT,Cup Dia PRE,Disc Dia GT,Disc Dia PRE,CDR GT,CDR PRE,Inferior GT,Inferior PRE,Superior GT,Superior PRE,Nasal GT,Nasal PRE,Temporal GT,Temporal PRE,ISNT Followed PRED,ISNT FOllowed GT
1,77.19,80.0,76.39,58.33,1.01,1.37,71.92,58.81,55.37,48.9,45.95,48.62,50.37,45.08,True,False
2,64.0,48.0,51.13,53.94,1.25,0.89,47.32,51.57,47.29,49.48,37.83,43.21,48.41,45.49,False,False
3,39.54,44.0,52.33,50.33,0.76,0.87,49.01,46.39,46.71,45.77,41.4,33.52,40.26,35.87,False,True
4,67.12,58.0,66.0,68.0,1.02,0.85,61.85,66.93,64.09,56.95,54.08,59.75,45.63,44.37,False,False
5,45.14,51.54,59.92,53.54,0.75,0.96,49.29,48.33,55.08,52.12,60.78,50.67,31.4,33.32,False,False
6,0.0,47.94,150.0,139.97,0.0,0.34,89.24,56.16,91.09,60.7,80.53,49.82,80.78,48.49,False,False
7,39.97,42.0,56.73,61.51,0.7,0.68,46.17,45.68,54.92,47.35,50.85,43.94,35.39,34.96,False,False
8,56.0,44.0,47.58,54.0,1.18,0.81,44.16,48.42,44.77,45.37,41.43,44.94,36.34,37.96,True,False
9,47.54,46.0,56.0,57.54,0.85,0.8,47.78,44.35,52.05,54.37,49.33,48.37,41.09,36.74,False,False
10,63.51,50.74,52.0,56.79,1.22,0.89,41.61,49.35,47.52,52.55,41.0,48.47,35.37,34.19,False,False
11,0.0,53.54,150.0,150.0,0.0,0.36,100.65,63.27,101.16,68.93,85.63,57.86,80.56,50.02,False,False
12,0.0,48.0,141.97,128.0,0.0,0.38,99.1,50.31,99.36,63.48,79.34,42.46,82.0,58.96,False,False
13,52.0,46.39,63.94,58.0,0.81,0.8,57.0,56.85,60.29,51.66,55.84,46.56,38.78,43.9,True,False
14,70.0,64.0,45.14,56.33,1.55,1.14,44.04,51.02,44.18,48.5,40.45,52.22,40.24,38.87,False,False
15,67.91,66.79,55.94,54.0,1.21,1.24,48.18,48.64,52.43,49.72,48.85,47.95,43.62,39.02,False,False
16,60.0,61.18,61.58,76.69,0.97,0.8,55.28,53.43,59.69,64.44,35.7,50.56,49.8,39.22,False,False
